"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"Sudan",8.809,1.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,57.778,0.059999999,8.0740004,5.2954569,0.2745434,6.2639999,3.5079999,0.62599999,0,0,1.592,8.0979996,2.6960001,4.0149999,2.4119999,5.868,0,0,2.01,0.54000002,0.023,0.56999999,5.3559999,24.611,0.50999999,3.3970001,0.27000001,2.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.0080000004,0,0,0.039999999,0.045000002,0.046999998,0,4.0710001,1.224,0.69499999,0,0,0,0.26699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7540002,0.029999999,0.40000001,15.752,0.46799999,1.5779999,0,0,0.52600002,0,0.31999999,0.755,0,12.214,0,0,0,0,17.011,38.162998,0.292,0,1.05,0,0,0.059999999,0,0,0,0,0.07,0.48899999,0.2,0,2.9849999,0,0
"Iran",326,8.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0.02,0.31,0,0,0,2.77,1.081,159.2,0.27000001,41.200001,42.21154,2.1884611,67.300003,47.099998,2.97,0.60000002,0,0,0,14.1,7.9699998,0,82.599998,0.039999999,0,13.82,1.03,0.055,0,33.439999,0,10.55,22.4,3.49,9.6700001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0.49200001,0.93699998,0.248,0,0,0,0.236,1.319,0,0,0,0,0,0,0.022,0,0.0099999998,0,0.94,0,0.20900001,0,5.25,0.30000001,0,0.039999999,0.34999999,0.36000001,22.299999,0.80000001,0,0.0099999998,0,0.57499999,0,0,0,0,5.0999999,178.7,34.77,5.3299999,0,0,0,0,1.55,0,0,0,0,2.1900001,3.25,0.1,0,17.42,0,0
"Turkey",171.97,15.12,0,0,0,0.0040000002,0,0,0.059999999,0,4.21,0,0,0,0,0,0,0,0,0.23999999,2.5599999,0,0,0,0.039999999,0.79000002,88.07,0.46000001,22.049999,16.067011,0.83299518,31.76,44.549999,4.4099998,0.93000001,0,11.27,28.450001,9.9499998,10.79,12.99,70.059998,0.039999999,0.090000004,3.1900001,0.18000001,0.60699999,4.4200001,8.2600002,38.73,7,9.4499998,2.22,4.2399998,0.029999999,0,0,0,0,0,0,0,0,0,0,0.162,0,0.059999999,0,0,0,0,0,0,0,0,0,0.44999999,0.102,0,0,0,0.2,0,0.97000003,0,0.22,0,0,0,0.0099999998,0,0.029999999,0.50999999,0.79000002,7.8299999,0.02,0.029999999,0,30.450001,2.8199999,0.0099999998,4.6700001,0.81999999,1.63,7.4299998,0,0,0,0,0.1,0,0.02,0,0.02,25.42,1,2.8199999,0,0.0099999998,0,0,0.79000002,0,0,0,0,0.88,5.54,0.02,0.0099999998,7.8800001,0,0
"Iraq",18.299999,4.8000002,2.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.30000001,0,0,0,0.1,0,61.099998,0.2,11.2,24.908609,1.291389,30,8,4.1999998,2.5999999,0,8.1000004,14.4,6.8000002,5.6999998,13.2,15.3,0,0,3.7,2.4000001,0.0020000001,9.8000002,1.9,54,2.5999999,20.799999,1.5,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0,0,0,0,0,0,0,0,0,0.69999999,0,0,0.2,0.40000001,0.2,0,0,0.2,0.1,8.1999998,0,9.6000004,6.1999998,13.9,2.8,0,1.3,0,0.02,1.8,0.1,22.9,0,0,0.5,0.40000001,15.7,14.8,6.1999998,1.1,10.8,0,0,1,0,0,0,0,13.9,2.5,0,0,6.9000001,0.1,0
"Egypt",45.93,5.4099998,0.12,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0.33000001,0,0,0,1.33,1.3200001,30.950001,0.38999999,14.22,3.3845291,0.1754712,58.209999,16.870001,28.049999,0.090000004,0,35.639999,22.780001,2.71,10.73,31.370001,52.02,0.07,0.68000001,20.41,5.7800002,0.13,7.9699998,25.889999,97.230003,2.72,9.9399996,0.31,4.9299998,0.011,0,0,0.050000001,0.039999999,0,0,0,0,0.050000001,0.0070000002,0.029999999,0,2.4000001,0.003,0.14,1.4400001,0,0.039999999,0,0.050000001,0.029999999,0.44999999,1.02,1.6,0,0,0.15000001,0.18000001,2.803,0,0.12,0,0,0,0,0,0,0.31,2.79,0.0099999998,0.23999999,17.18,0.090000004,4.3699999,5.8099999,0,8.2299995,8.9300003,0.31,0,1.41,0,0.34,1.64,0,15.32,0,0.02,1.33,0,11.85,62.490002,5.1399999,0,10.25,0,0,0.25,0,0.0099999998,0,0,0.94999999,1.86,1.8200001,0,7.8400002,0.33000001,0
"Syria",12.34,25.389999,8.8699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75999999,0,0,0,1.3200001,0,14.18,0.54000002,6.2800002,6.445817,0.3341839,16.809999,7.6700001,2.6400001,0.0099999998,0,9.6199999,5.5700002,7.0599999,3.48,13.38,23.450001,0,0,1.35,1.53,0.154,3.8099999,12.39,27.790001,1.22,4.2199998,0.07,2.1600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043000001,0,0.44800001,0.068000004,0.352,0,0,0,0.067000002,0,0,0,0,0,0,0,0,0,0.31999999,0.69,0,0.079999998,0.14,0.22,4.2800002,23.219999,11.31,0,22.620001,4.27,0,0.13,0,0,0.49000001,0,9.8400002,0,0,0,0,21.01,2.8599999,1.21,0,2.1199999,0,0,0,0,0,0,0,0.029999999,0.25,0,0,0,0,0
"Lebanon",64.550003,4.6799998,0.25,0,0,0.001,0,0,0.34,0,0,0,0,0,0,0,0.0099999998,0.001,0,0.40000001,4.1399999,0,0.14300001,0.15000001,2.79,0.48300001,39.630001,0.99000001,12.24,12.24515,0.6348508,44.98,10.16,6.8499999,1.39,0,2.74,2.55,7.5999999,6.7399998,10.94,43.139999,0.1,0,2.46,3.97,0.81999999,6.79,12.27,12.99,2.5999999,8.5,1.2,3.95,0,0,0.0040000002,0.20999999,0.13,0,0,0,0.31,0.1,0,0.0099999998,0.02,0.40000001,0,0.37,0.83999997,0.63,0,0.039999999,0.07,0.60000002,0,0.1,0.31999999,0,0,0.029999999,0.99000001,0,0,0,0.92000002,0,0,0,0.039999999,0,1.14,0.31999999,0.02,0.27000001,0.92000002,1.8099999,9.7399998,27.74,3.29,22.98,0,5.6399999,0,6.6300001,0.02,0.0099999998,1.67,2.6500001,8.6499996,0,0.69,0.02,0.14,25.25,1.96,0.44999999,0,1.41,0,0,0.15000001,0,0,0,0,1.02,1.17,0.07,0.0099999998,6.7199998,0,0
"Jordan",20.67,0.70999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,1.23,0,0,0,1.03,0,24.700001,0.07,3.5599999,4.4208031,0.22919691,4.6100001,1.27,1.22,0.44,0,0.91000003,1.08,1.5,1.37,2.04,6.2600002,0.02,0,2.76,1,1.428,2.4300001,3.8900001,6.52,0.50999999,2.0999999,0.14,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027000001,0.514,0.16,0,0,0,0.15000001,0,0,0,0,0,0,0,0,0,0.18000001,0,0,0,0.92000002,0.18000001,1.04,1.04,5.75,8.9399996,12.34,0,0,7.1199999,0,0.0099999998,0.059999999,0,4.1900001,0,0,0,0,10.85,4.5799999,0.93000001,0,0.52999997,0,0,0.36000001,0,0,0,0,0.14,0.11,0,0,0,0,0
"Israel",322.81,19.67,0,0.0020000001,0,0.014,0,0,0.27000001,0.090000004,0.16,0,0,0,0.029999999,0.47999999,2.3699999,0.050000001,0.07,3.72,4.5700002,0.039999999,0.14,0.25999999,15.59,4.52,223.27,1.1799999,71.160004,58.877491,3.0525091,60.84,49.080002,3.4200001,3.27,0,0.25999999,0.029999999,13.98,4.3499999,0.83999997,76.040001,0.090000004,0,13.26,4.2800002,0.63,1.76,24.719999,0.56999999,14.88,28.5,14.36,8.9899998,0.25999999,0,0,0.02,0,0.0099999998,0,0,0.93000001,0.029999999,0,1.22,0.001,0.60000002,0.0099999998,0.039999999,0.039999999,1.64,5.77,0,1.71,0.30000001,2.1400001,1.2,0.13,0,0,0,1.97,0.02,0,0.02,10.18,0,0,0,0,0,0,0,0,0,0,2.6600001,3.74,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.20999999,61.98,0.51999998,0.0099999998,0,0.49000001,0,0,0.18000001,0.039999999,0.0099999998,0,0,0.54000002,3.3,0.22,0,3.4000001,0.75999999,0
"Saudi Arabia",126.3,1.6,0.1,0,0,0.003,0,0,0,0.52999997,0,0,0,0,0,0,0,0.1,0,0.02,0.1,0,0,0,0.0099999998,0,51.299999,0.25,31,13.69023,0.70977098,19.5,10,0.80000001,0.40000001,0,0,1.8,1.3,1.3,3.0999999,31.6,0.029999999,0,1.6,0.1,0.1,0,2.0999999,7.0999999,0.2,6.1999998,0.1,1.9,0,0,0,0.0020000001,0,0,0,0,0,0,0,0.0020000001,0,0,0.169,0,0.1,0,0,0,0,0,0.097000003,0.40000001,0.40000001,0,0,18.6,7.5999999,0,0,0,0.30000001,0,0,0,0,0,0.1,0,0,0,5.5999999,0.69999999,0.1,2.0999999,3.7,11.4,80.699997,10.1,0,0,0.80000001,1,14.1,0.025,0,0,3,1.2,0,69.800003,22.700001,6.9000001,0.1,7,0,0,14,0,0,0,0,4.1999998,3.97,0,0,20.9,0.2,0
"Yemen Arab Republic",0.229,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.66000003,0,2.6889999,0.050000001,0.47999999,0.0380284,0.0019716001,3.7609999,0.0049999999,0.189,0.0099999998,0,0.53500003,0.111,0.0049999999,0.0070000002,0.082999997,1.043,0.039999999,0,0.0070000002,0.001,0,0.20999999,0.011,3.8110001,0.07,0.024,0.039999999,0.074000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0.001,0,0,0.107,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0.046999998,0.022,0.55900002,1.028,0.013,0.0060000001,0,0,0.018999999,0,7.4229999,0.0020000001,0,0.67400002,0,0,0,0,1.819,0.465,0.102,0,0.366,0,0,1.27,0,0,0,0,0.013,0.44600001,0,0,3.9560001,0,0
"Yemen People's Republic",3.3399999,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0.029999999,5.9099998,0.93169618,0.048303898,2.3699999,0.64999998,0.43000001,0.029999999,0,0.31999999,1.16,0.41,0.25999999,1.41,2.6099999,0.25999999,0,0.2,0.07,0.02,0.059999999,0.93000001,1.4,0.02,0.28,0.12,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0.38999999,0,0,0,0,0,0.039999999,3.7,0.07,0,0,5.75,2.04,0,0,0,0.28,0,0,0,0.18000001,0,0,0,0,0,0.12,36.610001,0,5.6399999,0.67000002,0.25,0.81999999,0.079999998,0,0.37,4.0599999,0,26.66,0,5.02,0,0.67000002,0,0.039999999,21.17,8.3299999,1.89,0,3.1600001,0,0,3.8699999,0,0,0,0,0.38999999,3.1500001,0,0.5,5.5799999,0,0
"Kuwait",82.900002,2,0,0,0,0.017999999,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0.5,0.60000002,0,0,0,0.60000002,0.063000001,73.900002,0.69999999,15.5,6.8451142,0.35488549,30,9.8999996,2.4000001,0,0,1.9,2.4000001,2.7,3.7,3.8,30.1,0.1,0,2.4000001,1.2,0.89999998,2.4000001,6.5,8.6000004,0.40000001,4.5,0.80000001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.91799998,1.122,0.93099999,0,0,0.60000002,0.1,0,0,0,0,0,0,0.60000002,0.1,0,0.30000001,0.1,0,0,0.2,10.6,1.6,8.8000002,2.7,5.1999998,27.299999,5.0999999,0,2,0,0.1,0,0,20.4,0,4.9000001,0,1.4,95,23.299999,9.8000002,1.1,5.0999999,0,0,1.8,0,0,0,0,1.3,2.2,0.1,0.1,14.8,0.2,0
"Afghanistan",3.5439999,1.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3150001,0,1.493,0.25669181,0.0133082,1.427,1.564,0,0.0099999998,0,0,0.139,0.057,0,0.78600001,0.75,0,0,0,0.02,0,0,0,37.466999,0,0.30000001,0.49000001,0.16599999,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7939999,0,0,0,0,0.47600001,0,0,0,0,0,0,0,0,0,0,0,0,19.037001,12.707,3.2920001,0,0,0,0,0,0,0,0,0,0,0.47799999,0,0,0.148,0,0
"China",0,135.39999,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,2.52,0.001,107,0.02,21.9,21.676201,1.123804,80.699997,20.799999,0.54000002,0.02,0,0,26.299999,5.1999998,13.3,0,57.099998,0.11,0,4.5799999,0.1,0.003,0,71.879997,0,12.85,22.200001,0,3.78,0,0,0,0.026000001,0,0,0,0,0,0,0.38600001,0.003,0,2.3970001,0,0.134,1.2,0,0,0,0.0040000002,0,1.527,1.733,8.2159996,0,0,0,0.736,47.694,0,0,0,0,0,0,0,0,6.6199999,9,0,0,17.75,0,0.88,5.8000002,17.75,15.87,0,0.56,0.02,0,0,0.050000001,0,0,0,0,0,0,0,568.90002,0,39.279999,0.18700001,42.256001,0,0,0,2.8599999,0,0,0,21.790001,22.67,0,0,129.28,4.3699999,0
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3099999,0,0,0,0,0,0,0,0,3.47,0,0.059999999,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taiwan",527,17.700001,0,0,0,0.001,0,0,2.7,1.284,0,0,2.3329999,0.026000001,0.138,0,0,0.003,0.0099999998,1.1900001,21.290001,0,0,0,5.5100002,0.044,15.9,0.029999999,11.7,6.3032098,0.32679051,5.3000002,11,1.1900001,0.13,0,0,0,0.89999998,0,0,11.5,0,0,0,0.059999999,0.001,0,0,0,0,1.3,0.13,2.8699999,0,0,0,0.33899999,0,0,0,0,0,0,0,0.0060000001,0,0,0,0,0,0,0.403,0.037,0.001,0,1.27,0,0.0040000002,0,0,0,0.0020000001,0.0060000001,0,0,0,0,0,0,0,0,0.15000001,0,0,0,0,0,1.7,0.40000001,0,0,0.090000004,0,0,26.9,0,0,0,0,0,0,0,0,7.1999998,700.40002,3.04,0,0,0,0,0,34.59,0,0.0070000002,0,0,21.299999,12.24,17,0,39.310001,0,0
"North Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0.40000001,0,0.1,0.095071003,0.004929,4.5,0.2,0,0,0,0,0,3.8,2.4200001,0,1.5,0,0,0.059999999,0,0,0,7.9499998,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.035999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.299999,0.74000001,1.63,0,0,0,0,0,0,0,0,0,0,3.9300001,0,0,5.48,0,0
"South Korea",584.79999,23.200001,0,0,0,0,0,0,0.89999998,0.021,0,0,0.046999998,0,0,0,0,0.003,0,2.8099999,1.85,0,0,1,0.2,0,32.799999,0.0099999998,23.299999,11.78881,0.61119169,52.200001,4.6999998,0.14,0.14,0,0,0,3.5999999,0,0,19.6,0,0,0,0,0,0,0,0,0,2.8,0.1,0.95999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,4.9000001,0,0,0,0,0,0,0,0,0,0,39.5,1.02,0,0.49000001,0,0.0099999998,0,4,38.400002,0.035999998,0.0099999998,30.700001,0,0,0,34,0,0,813,6.0999999,0.5,0.001,0,0,0,1.7,0.12,0,2.0999999,0,57.799999,13.5,41.700001,19.799999,13.7,3.2,0.0080000004
"Japan",5564.2998,928.59998,110.7,1.9,6.8000002,1.1,2,0.001,151.2,22.4,4.4000001,28.1,27.6,16.9,2.3,26.700001,22.799999,4.4000001,84.699997,210.39999,217.89999,37.700001,2,212.39999,153.8,1.7,395.20001,11,103.6,71.778633,3.721369,186.5,176.89999,32.700001,9.3999996,0,38.599998,39.599998,15.6,4.1999998,15.2,134.39999,0.1,0,2.9000001,13.4,0.2,9.3000002,4.3000002,481,11.2,88.699997,34.200001,30.1,0.30000001,0,0,3.8,5,4,9.1999998,0.30000001,9.6999998,0,4.5,31.9,9.1999998,32.200001,3.3,6.3000002,12.8,2.9000001,1.8,6.0999999,4.0999999,37.599998,33.200001,4.6999998,18.1,1,0.40000001,0.1,9.1000004,294.70001,0,0.30000001,340.70001,0,0.5,31.200001,6.6999998,0.5,18,4.1999998,0.1,5.3000002,30.1,995.29999,28.4,0.2,47.299999,16.700001,1.7,0.1,27.799999,666.59998,1.8,18.700001,308.29999,0.2,253.8,0.60000002,250.8,34.400002,229,0,390.10001,42.400002,12.6,17.4,0,1.1,189.60001,6,0.0060000001,4.5999999,0,418.89999,86.5,533.5,636.59998,1507.7,157.60001,1.3
"India",614.04999,149.52,0,0.001,0,0.001,0.0099999998,0.0020000001,0.95999998,0,0,0,0,0,0,1.5,0.02,0.090000004,0,1.42,5.2199998,1.77,0.0099999998,0.12,5.4299998,0.090000004,140.28999,0.1,19.610001,12.16909,0.63090771,23.1,15.64,1.74,0.0099999998,0,28.559999,34.549999,3.2,20.040001,27.74,38.27,0,0,9.3599997,1.67,0.011,16.92,19.120001,164.38,3.4200001,12.47,2.4300001,3.9200001,0,0,0,0,0,0.14,0,0,0.34,0.039999999,0,0.054000001,0.44,2.8199999,0,0.0040000002,0.0099999998,0,0.11,0,1.71,28.549999,10.38,9.1999998,20.799999,0,0,0,0.013,39.27,0,0.090000004,0.1,0,0.28999999,0.059999999,0.23999999,0.079999998,8.7200003,0.82999998,0,0,28.610001,111.59,0.50999999,5.1100001,48.299999,0,0.039999999,1.51,0.18000001,22.1,0.02,3.1600001,7.6900001,11.35,0,0,0.38999999,0,1.1,97.010002,0,0.090000004,9.5699997,3.74,0.029999999,14.75,3.9200001,0,0,0,0,6.6599998,1.58,1.33,0.31999999,47.91,1.79,0.028000001
"Pakistan",313.31,45.799999,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.001,0.029999999,0,0.029999999,0,0,0,0.07,0.001,119.9,0.029999999,15.61,13.44304,0.6969558,17.15,15.13,1.04,0.37,0,0.22,20.25,1.8200001,6.71,13.53,42.43,0.0099999998,0.0099999998,15.56,0.23999999,0.0099999998,10.37,3.5799999,29.309999,1.89,5.8699999,3.6199999,2.8599999,0.001,0,0,0,0,0,0,0,0.17,0.0099999998,0,0,0.0099999998,0.0099999998,0,0.086999997,0.2,0,0,0,0,0,0.0020000001,0.67000002,1.21,0,0,0,0.022,0.050000001,0,0,0,0,0.02,0,0.039999999,0,0.0099999998,0,0.83999997,0,0.079999998,29.85,0.50999999,0.97000003,0.38999999,0,1.63,0.50999999,0.2,7.71,0,0.029999999,7.4400001,22.860001,27.73,0,0,0.43000001,2.4300001,119.95,0.27000001,0,1.74,6.3099999,0.18000001,0.28,0.090000004,0,0,0.039999999,0,6.1199999,4.1300001,0.68000001,0.2,18.02,1.47,0.0099999998
"Myanmar",8.9289999,3.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.003,0,14.51,3.904,2.5710001,1.901421,0.098579302,4.1350002,0.74599999,0.105,0.016000001,0,0.86400002,0.366,0.39300001,0.113,4.8260002,0.81900001,0,0,3.0710001,0,0,0.059,0.029999999,4.0700002,0.49399999,1.275,0.366,1.4450001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097999997,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0.052999999,0,0,0,0.063000001,0,0,0,0,0,5.1570001,0,0.054000001,0.078000002,1.7920001,39.879002,20.759001,2.2249999,0,0.32800001,0,0,0.0099999998,0,0,0,0,0.88999999,1.506,0.024,0.037,3.8859999,0.078000002,0.001
"Sri Lanka",22.195,11.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090000004,0,0,0,0,2.3,0,55.400002,0.242,4.3330002,3.0612869,0.1587127,10.435,1.954,0.12,0.15000001,0,1.681,8.1230001,0.42300001,1.275,5.1079998,4.48,0,0,5.119,1.3200001,0.0040000002,0.090999998,3.043,6.684,0.18000001,1.1,0.49000001,2.378,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0.0040000002,0,0,0,0,0,0,0,0,0.278,0.061999999,0.212,0,0,0,1.9349999,0,0,0,0.69800001,0,0,0,0,0,1.04,0,0,0,0,3.175,0,1.1,6.1290002,0.0099999998,0.34,0.039999999,0.050000001,0,0,1.52,0,0,48.605999,0,0,0,0,32.792,37.909,9.7250004,14.952,0,2.575,0,4.9219999,0,0,0,0,2.1960001,5.1560001,0,0.514,18.843,3.425,0
"Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20999999,0.050000001,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1999998,0,0.1,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.2,0.0099999998,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,4.8000002,36.209999,0.02,0,0,0,0,0.050000001,0,0,0,0,0,0.22,0,0,0,0,0
"Thailand",192.83,9.6300001,0,0,0,0.003,0,0.001,1.17,0.47,0,0,0.44,0,0.079999998,0,0.27000001,0,0,0,9.3699999,0.02,0,0.0099999998,0.07,0,96.830002,0.18000001,18.58,15.32545,0.79454929,18.459999,23.129999,1.42,0.75999999,0,0.46000001,3.8800001,7.9099998,0.31999999,2.8,23.450001,0.050000001,0,0.28,0.12,0,0.02,0.07,10.52,2.45,11.1,2.01,9.9099998,0.039999999,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,1.104,1.6900001,0.029999999,0,0,0,0.037999999,0.003,0,0,5.4000001,0,0,0,0,0,0.36000001,0,0.07,0,0.13,13.03,0.23999999,2.9000001,0.0099999998,0,0.0099999998,0,1.1900001,25.780001,0,12.46,6.4099998,0,0,0,28.99,0,6.1900001,485.89999,10.11,0.44,0.18000001,0.13,0,0.02,0,0.23,1.54,0.059999999,0,6.9699998,12.63,3.3199999,19.25,40.939999,5.3699999,0.0020000001
"Cambodia",2.9000001,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,2.1600001,0,0.20999999,0.3802841,0.0197159,12.39,0.27000001,0.11,0,0,1.14,0.11,0.16,0,0.56,1.05,0,0,0.02,0,0,0.02,0,0.40000001,0,0.050000001,0.02,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38999999,0,0,0,0,0,0,0,0,0,0.17,2.5,0,0,0.0099999998,0,1.79,0,0.23,0,0.38999999,13.6,0.059999999,0.20999999,0,0,0,0,0.38,0,0,0,0,0.18000001,3.04,0.0099999998,0.039999999,0.57999998,0,0
"Laos",13.171,0.013,0,0,0,0,0,0,0.0060000001,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,1.336,0,0.208,0.0095071001,0.00049290003,4.3449998,0.097000003,0.0070000002,0.0040000002,0,0.001,0,0.021,0,0.41,0.40799999,0,0,0.02,0,0,0,0,0.043000001,0,0.021,0,0.227,0,0,0,0,0.052000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0.001,0,0,0.0060000001,0.001,0,0,0,0,0,0,0,0,0,0,0.0070000002,0,0,0,0,0,0.121,0,0.52700001,0,0.0049999999,7.7729998,2.3410001,0.072999999,0,0.001,0,0,8.8929996,0,0,0.061999999,0,0.052000001,2.9749999,0.054000001,8.2629995,0.30599999,0.025,0.0099999998
