"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"Afghanistan",7,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,9,0,0,0,9,7.3,0,0.9,0.1905,0.0095,0.2,0.6,0,0,0,0,0,0.5,0,2.7,0.9,0,0,0,0,0,0,9,43.5,0,0.6,0.1,0.3,0,0,0,9,0,0,0,9,0,9,0,9,0,9,0,0,0,9,0,9,9,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,9,0.1,0,0,0,9,0,0,0.1,0,0,0,0,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China",1,82.6,0,0.05,0,0,0,2.4,0,0,2.3,0,0,0,0,0.7,0.15,0.7,0.4,0,0,6.3,83.4,0.1,10.8,1.2,6.5,2.2855,0.1145,16.4,5.6,1.8,0.2,0,0,0,3.2,0,0,18,0.4,0,0,0.1,0,0,2.58,0,2.3,1.4,0.4,4.5,0.1,0.737,9.8,3,0.5,0,1.8,0.3,0,9,0,1.3,9,0.6,0,11.6,0,0,0.4,0.5,0,14.8,0.9,7.2,0,0,10.9,2.3,0,0.11,9,0,1.6,2.7,0,0.9,4.8,8.9,0,2.3,11.5,18.4,11.1,4.5,3.6,0.2,0,0,0,0.1,0,0,0,0,0,20.6,0,24.8,10.2,12.2,0,0,0,7.6,0.1,0,0,0,0,0,58.8,135.23,6.9
"Mongolia",4,0,0,0,9,0,0,0,9,9,0,0,9,0,9,0,0,0,9,0,0,0,0,9,0.8,0,0,10.0475,9.0525,0.3,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0.04,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0.55,9
"Taiwan",133,3.2,0,0,0,0,0,7.7,0.7,0,1,1.8,0,0.22,0,0,0.02,0.1,1.5,0.1,0,0,0.3,0.2,1.2,0.1,1.5,1.3332,0.0668,0.4,2,0.5,0,0,0,0,0.1,0,0,2.1,0,0,0,0.4,0,0,0,0,0,0.4,0.8,0.4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.2,0,0,0,0,0,0,0.9,3.3,0.3,0,0,9,0,0,0.4,9,0,0.2,16.2,0,0.7,2.2,0.2,17.7,3.2,1.5,0,0,0.1,0,0,3.5,0,0,0,0,0,0,0,8.6,60.5,0.1,2.3,0,0,0,0,13.5,0,1.5,0,0,0,0,5.5,0,12.86,0
"North Korea",9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,3.7,0.6666,0.0334,4.3,0.2,0,0,0,0,0,0.7,0,0,0.2,9,0,0,0.1,0,0,1.22,0,0,0.4,0,0,0,0,0,0,9,0,9,0.2,0,9,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0,9,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1.9,0.1,0,0,0,0,0,0,0.2,9,0,0,0,0,0,0,4.3,9
"South Korea",124.3,0.1,0,0,0,0.7,0,0.8,0.1,0.3,0.5,0,0,0.2,0.6,0.4,0,0.3,0.4,0,0,0,0,0,2.7,0,1.1,0.3809,0.0191,9.6,0.5,0.1,0,0,0,0,1.2,0,0,5,0,0,0,0.2,0,0,0,0,0,4.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,1.7,0,0,0,0,0,0,8.6,0,0,125.2,0.4,0.9,1.1,0,0,0,3.5,0,0.2,14.8,0,0,0,10.2,0.2,2.05,0.9
"Japan",253.8,120.8,25.8,1.361,4.16,9.4,4.7,105.7,8.7,1.2,16.1,43.1,15.9,4.67,9.8,46.3,3.95,59.1,9.22,10.5,2.929,122.5,3.7,0.5,56.1,9.2,17.8,19.2366,0.9634,3,20.5,12.7,4,0,0.1,3.3,4.5,2,1.5,10.6,1.6,0.1,21.6,31.9,4.5,4.9,0.34,71.9,18.3,27,72.7,19.4,5,2.371,0.1,4.1,0.2,0.2,0.3,1.1,0.2,0.1,12.9,8.8,11.5,3.8,1.9,62.3,0.2,0.1,0.5,0.5,3.2,6.1,19.9,8.3,1.6,0.5,2.6,18.3,50.3,6.15,3.88,3.8,1,4.3,15.1,0.2,11.8,10.6,179.7,5.7,46.8,12.8,8.9,12.5,6.3,6.9,348.7,0.5,265,8,20.6,0.1,60.5,1.9,125.2,0,9.1,76.2,45.5,13.4,0,0.1,116.3,9.5,2.7,30.1,0,0,0,41,10.4,190.74,5.14
"India",597.8,4.2,4.1,0.175,1.1,0.7,1.1,0.8,0.1,0.8,0.1,0.7,0.5,0.44,0.2,0.3,0.4,0.8,0.02,0.4,0.1,1.2,14.7,1.6,29.2,9.9,22.8,3.5235,0.1765,8.6,18,0.9,0,0,5.8,10.6,4.7,0.2,8.9,23.6,0.4,9,1.5,2.2,1.3,2,6.2,14.6,2.7,18.7,0,0.4,0.2,0.334,0.2,0.2,0.3,0,0.1,0.3,0.1,0,0,1.8,2.8,0.1,0.3,10.7,0,0,0.2,0,3.3,1.7,6.2,3.9,0,0,1.1,3,1.8,0.33,1,0,0.2,0.3,0.8,3.3,1.4,4.9,48.2,0.5,3.3,18.8,2.2,1.4,0.2,0.2,15,0,10.1,6,0,9,0.1,0.1,0.4,9.1,0,7.3,11.1,18.5,0,8.1,32.8,0.1,0.1,5.5,0,0,0,1.5,0.9,2.35,10.84
"Pakistan",317,18.2,8.2,0,0,0.1,0,0.1,0.2,0,0,0.2,0.1,0,0.1,0.1,0,3.2,0.4,0,0,1.7,5.7,0.4,77.9,2.9,8.1,7.3328,0.3672,6.7,10.1,5.7,3.6,0,3.3,0.1,0.2,0.1,0.7,27.1,0,0.6,4.5,0,0.4,0.4,0,8.2,0.1,2.9,1.2,4.2,0,0.346,0,0.1,0,0,0.3,0.8,0,9,0,0.6,0.1,0.3,0.5,11.8,0,0,0,0,0.1,2.2,2.4,1.2,0,0,0.4,1,0.3,1.13,0.45,4.1,0.6,1.1,0,0,0.1,0.9,2.9,0.6,2,4.8,0,0.1,0.1,0,2.1,0,5.4,6,24.8,0,2.3,0,0.9,76.2,7.3,0,5,3.2,0,0,0.2,0.5,0.1,0.6,0,0,0,0.5,12.5,9.18,0.4
"Myanmar",15.6,0.7,9,0,0,0,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9.1,4.6,0.1,6.2,0.0952,0.0048,1.3,0.6,0,0,0,0.2,6,0.7,0.6,3.7,1.5,0,0,1.7,0,0,0,0.1,5.9,1.2,2.9,0.4,6.1,0.1,0.832,9,0,9,0,0,0,0,0,0,0,0,9,0,0.1,0,0,0,9,9,0,0,0,0,0,0.1,0,0,0,0,2.6,0,0,0,0,0,0,0.7,0,2.9,0.3,9,0,0,0,0,0,0,0,10.2,9,0,0,1.1,45.5,11.1,5,0,12.9,0,0,0.9,0,0,0,0,0,0,29.9,38.8,6.64,0.4
"Sri Lanka",24.2,12.6,0,0,0,0,0,1.8,0.2,0.1,0,0.1,0,0,0,0,0.19,1.2,0,0.2,0,0,0.1,0.2,63.2,2.7,5.1,2.1903,0.1097,2.8,1.3,2.5,0.2,0,1.2,2,1.5,0.2,1.5,3.2,0.3,0,0.8,0.3,0.1,0.1,1.52,0.6,0.1,2.6,0.7,0.7,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.8,0.2,0.7,0,0,0.3,0.2,0.3,0.56,0,16.9,0.1,0,0,0.7,3.7,0,4.1,0.7,10.3,0.5,1.9,1,0.7,0,4.5,0,0,0,12.2,0,0,0,0,13.4,18.5,3.2,12.9,0,0,0,5.7,0,9,0,0,0,0,0,1.6,2.96,6.47
"Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepal",1,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0.4,9,0,0.1905,0.0095,0.1,0.1,0,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,9.4,9,0.1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",70.2,5,0,0,0,0,0,1.5,0.2,0,0.1,1.9,0.1,0,0,0.1,0.09,0,3.59,0,0,0,0.1,0,50.4,0.8,3.4,0.8571,0.0429,4.3,6.3,4.7,1.8,0,0,1.6,0.9,0.2,0.2,1.4,0,0,1.5,0.2,0.4,0.1,0.1,2.2,0.8,3.4,0.5,4.1,0,0,0,6.6,0,0,0,0.2,0,0,9,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,2.4,0.2,0.2,0.18,0,0.8,7.8,0.1,0,0.1,0,0,13.2,0,1,2.1,0,0.2,0.2,0.6,5.2,0,0.9,0,0,9,13.5,0,3.5,116.3,32.8,0.2,0.9,5.7,0,0,0,0.1,8.1,9.7,0,0,0,13.3,34.8,13.08,0.1
"Cambodia",1.1,0.1,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4.5,0,1.4,0.3809,0.0191,11.4,1.2,0.8,0,0,1,2.5,0,9,4.2,0.3,0,0,1,0,9,1.6,0.1,1.4,0.1,0.3,0.1,0.2,0,9,9,9.3,0.4,0,9.1,0.7,0,0,0,9,0,9.3,0.5,0,9,0,0,9.1,9,0,0,0,0,9,0,9,0,9.1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,9,0,0,7.6,0,0,0.2,0,9.5,0.1,0.5,0,0,0,0,0.1,0,0.1,0.2,0,0,0,6.7,3.5,0.24,0
"Laos",6.9,0,0,0,9,0,9,9,0,0,0,0,0,9,9,0,0,0,9,9,9,0,0.1,0,2.8,0,0.1,0,0,1.5,0.1,0,0,0,9,9,0,0,9,0.1,0,9,0,0,9,9,0,9,0.1,0,0,0.1,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,9,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0,0.4,0,9,0,9,9,0,0.1,0,9,0,0,0.1,0,1.5,9,0.2,2.7,0.1,0.1,0,9,0,0,8.1,0.1,0,0.2,0,0,0,0.4,1.8,0,0
"Vietnam",158.906,0.7,0,9,9,0,0,9.3,0,9,0,0,9,0,0.6,0,0,9,0.2,0,0,9,9.3,9,0.9,0.6,1.2,0,0,5.3,0.9,0.6,5,0,0,0,0.2,0,0,4.2,9,0,0,0.9,0,0,0,0,1.5,0.3,0,0.6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,0,0,9,9,0,9,0,0,0,0.2,0,1.9,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,14.8,30.1,5.5,0.6,0,0,0,0,9.7,0.2,0.2,0,0,0,0,0,0,4.7,0
"Republic of Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malaysia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
"Singapore",0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0
"Philippines",88.3,22.3,0,0,0,0,0,4.4,0.1,0,0.2,0.4,0.1,0.56,0.1,2.7,0.28,0.9,0.4,0,0.2,0,2.2,0,25.3,0.4,0.3,1.9998,0.1002,0.3,2.8,4.2,1.4,0,0,0,2.6,9,0,2,0,0,0,0,0,9,0,0,1.8,9,1.9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.8,0,0.3,0,0,0,0,10.7,0.2,15.3,0.2,0,0.6,0,0.3,16.4,0,4,0,0,0,5.5,0,10.2,41,1.5,0.5,29.9,0,0,0,13.3,6.7,0.4,0,0,0,0,0,19.3,17.79,5
"Indonesia",113.4,0.9,0,0.012,0,0,0,0.1,0.1,0,0,0,0,0.44,0.2,6.7,0.46,1.1,0,0,0,0,0,0,16.3,0.6,87.6,11.8086,0.5914,4.6,2.6,0.2,0.1,0,0,0,2.5,0,0,14.6,0.4,0,8.2,0.2,0,0,0.04,13.4,0.4,7.6,2.1,1.7,0,9.013,0,0,9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,9,0,0,0,0.1,0,9,9,0,0,0.1,0.11,9,0,0.5,0.5,0,0,0,0,8.5,0,0.2,0,0,0,0,0,9.8,9,0,0,58.8,0,0,0,0.2,10.4,0.9,12.5,38.8,1.6,0,0,34.8,3.5,1.8,0,0,0.2,5.6,19.3,0,74.1,1.32
"Australia",526.38,100.96,0.01,0.025,0.01,5.16,5.69,15.72,0,0.1,0,0.1,0,0.33,0.19,2.08,0.38,0.31,4.73,0,0,0.44,0.98,0.5,365.5,8.9,38.33,24.8838,1.2462,50.38,40.52,2.34,0.85,0,10.77,12.53,3.61,1.25,2.77,50.86,3.68,0,18.62,14.92,0.6,0.69,0.15,88.16,18.73,44.44,3.04,5.93,0,0.014,0,0.2,0,0,0,0.11,0,0,0.2,0.5,2.94,1.1,0.77,1.4,0,0,0,0.11,0.44,3.19,0.58,2.2,0,0,0.4,0.2,2.09,1.76,1.32,5.14,0.1,0.22,0,0.1,0.2,1,16.75,8.54,14.57,10.38,0.3,10.4,0.8,0.12,55.7,0,28.91,0,135.23,0.55,12.86,4.3,2.05,190.74,2.35,9.18,6.64,2.96,0,0,13.08,0.24,0,4.7,0,0,0,17.79,74.1,0,143.99
"New Zealand",11.53,29.35,0,0.09,1.38,4.4,4.3,0.5,0,0,0,0,0,1.1,0.1,1.33,0.01,1.6,0,0,0,0,0.1,0.1,192.15,2.8,2.02,25.6266,1.2834,53.28,8.56,3.4,3,0,0,3,0.3,0,0.1,20.38,0,9,1.6,5.4,1.4,0,0,4.7,1.4,2.94,0.04,1.8,0.1,0.012,0,0,0,0,0,0.1,0,0,0,0.2,1.19,0,0,0.5,0,0,0,0,0,1.1,0.4,1.6,0,0,0,0,0.3,1.26,0.22,9.5,0,0.1,0,0,0,0,15.63,0,0,0,0,0,0,0.7,2.53,0,0,0,6.9,9,0,9,0.9,5.14,10.84,0.4,0.4,6.47,0,0,0.1,0,0,0,0,0,0,5,1.32,143.99,0
